transaction_id,order_id,product_id,customer_id,employee_id,total_sales,quantity,discount
1,132,25,191,88,284.68,6,0.22
2,136,17,1957,11,273.54,2,0.2
3,128,29,748,17,416.55,3,0.49
4,115,28,342,72,231.23,8,0.3
5,115,69,215,55,483.91,10,0.36
6,172,92,1768,13,26.85,4,0.14
7,120,62,784,15,483.04,10,0.13
8,66,8,112,75,83.55,8,0.1
9,192,4,929,5,457.84,7,0.26
10,65,56,1093,98,403.1,8,0.44
11,124,75,1879,32,203.61,1,0.33
12,6,37,499,28,74.59,9,0.33
13,83,16,1864,78,107.96,8,0.08
14,33,27,68,19,263.62,3,0.03
15,34,85,1324,52,247.92,8,0.33
16,91,93,43,96,226.54,7,0.45
17,152,15,794,97,422.9,2,0.07
18,200,31,1133,80,240.03,7,0.12
19,100,61,688,61,105.82,2,0.2
20,142,5,416,45,171.8,8,0.39
21,89,60,1619,61,52.91,4,0.41
22,13,36,1839,50,53.15,10,0.3
23,14,45,1994,27,309.17,10,0.48
24,35,53,614,41,16.74,6,0.11
25,35,74,1824,2,113.14,2,0.34
26,174,21,800,53,325.31,5,0.29
27,43,49,1854,40,379.8,3,0.24
28,53,3,1977,79,387.37,8,0.02
29,182,8,1774,5,182.48,10,0.39
30,73,86,508,97,134.82,2,0.26
31,144,27,1340,4,35.33,10,0.26
32,91,23,889,84,314.89,1,0.32
33,98,87,385,36,32.54,10,0.01
34,175,28,1311,4,58.15,10,0.07
35,34,10,840,85,487.3,10,0.19
36,19,36,688,48,287.67,7,0.46
37,181,50,29,53,20.42,7,0.18
38,19,25,161,7,442.64,4,0.01
39,46,90,1095,25,289.3,7,0.33
40,131,37,1873,68,214.83,7,0.16
41,162,12,255,8,85.87,10,0.25
42,22,36,819,19,436.46,7,0.09
43,90,36,1731,75,163.04,4,0.48
44,14,4,87,58,207.66,3,0.32
45,54,72,1640,42,468.08,9,0.33
46,37,77,1177,71,320.2,5,0.31
47,79,52,24,4,336.51,1,0.42
48,42,81,413,14,219.64,1,0.41
49,95,95,1544,5,465.01,3,0.22
50,160,22,337,61,465.54,9,0.18
51,33,43,1307,29,211.22,4,0.43
52,119,89,1396,67,485.46,6,0.49
53,64,1,329,56,452.06,5,0.49
54,16,87,1370,97,389.32,8,0.47
55,40,94,1076,33,183.22,9,0.04
56,166,20,1546,7,394.08,4,0.14
57,130,53,1544,75,383.75,8,0.38
58,141,5,1672,90,361.34,9,0.03
59,182,72,519,61,408.58,1,0.49
60,70,20,804,15,421.23,7,0.37
61,35,46,1127,69,316.25,1,0.14
62,27,3,1999,39,429.91,3,0.2
63,156,99,1972,29,56.58,8,0.19
64,88,36,1118,22,499.07,8,0.07
65,119,98,966,58,316.8,9,0.14
66,176,39,1895,21,491.58,9,0.17
67,103,41,897,98,479.06,2,0.23
68,128,15,794,10,278.07,5,0.1
69,165,28,1764,4,106.32,3,0.25
70,74,18,1538,93,41.85,7,0.38
71,200,49,1217,29,319.25,2,0.11
72,177,42,919,86,218.28,5,0.38
73,44,35,1918,38,425.76,8,0.49
74,103,96,791,79,478.69,7,0.12
75,182,47,614,65,202.48,4,0.44
76,18,68,1789,2,177.5,1,0.16
77,180,97,1941,14,14.27,4,0.35
78,48,23,1535,76,253.89,5,0.34
79,174,83,769,14,76.52,10,0.13
80,197,19,175,30,135.72,2,0.07
81,152,33,1978,21,379.28,9,0.16
82,166,49,618,41,216.67,9,0.22
83,90,72,1155,30,117.02,10,0.24
84,89,94,251,89,237.5,7,0.23
85,59,52,273,67,106.5,1,0.21
86,51,29,1351,7,321.64,5,0.14
87,6,75,26,97,14.84,8,0.37
88,99,80,815,35,183.31,9,0.16
89,163,18,303,95,491.53,1,0.12
90,72,7,1891,89,74.11,5,0.24
91,52,30,550,15,451.8,10,0.44
92,143,88,1777,11,121.17,4,0.46
93,81,17,192,47,495.89,10,0.12
94,197,39,1137,24,312.73,3,0.42
95,171,78,283,48,266.0,7,0.37
96,68,77,91,83,57.23,7,0.19
97,25,29,1272,88,140.54,2,0.23
98,154,49,132,29,181.89,1,0.22
99,121,76,1369,83,486.18,1,0.39
100,89,35,1064,31,363.64,2,0.37
101,49,70,1164,22,49.26,1,0.02
102,177,57,857,4,370.89,4,0.2
103,197,70,902,8,272.51,5,0.47
104,186,93,126,52,107.93,3,0.42
105,143,36,392,55,392.27,6,0.31
106,181,12,1939,21,102.12,7,0.06
107,70,5,773,66,485.32,1,0.35
108,180,27,1645,71,40.28,1,0.31
109,115,26,204,10,411.25,2,0.18
110,12,49,239,69,240.52,6,0.07
111,182,4,1885,27,191.55,7,0.11
112,133,55,1154,37,33.39,9,0.03
113,182,46,1455,34,82.84,10,0.04
114,2,35,1946,47,220.8,8,0.27
115,121,7,1286,65,132.86,2,0.43
116,147,40,1388,52,81.48,2,0.26
117,188,8,767,36,155.02,9,0.33
118,3,20,1922,54,32.53,7,0.43
119,7,44,311,89,155.29,8,0.27
120,120,87,1978,66,161.82,6,0.44
121,182,76,528,79,352.15,8,0.35
122,163,7,1839,50,50.93,6,0.16
123,21,89,670,93,210.8,6,0.15
124,139,38,706,87,61.34,5,0.46
125,78,60,1590,97,146.94,10,0.37
126,97,72,713,87,410.92,5,0.27
127,24,65,1656,20,49.26,3,0.24
128,28,53,483,21,308.57,10,0.19
129,6,14,209,75,409.92,10,0.44
130,28,56,1513,31,145.5,5,0.08
131,167,65,1424,74,76.06,7,0.41
132,6,35,1241,36,454.06,8,0.19
133,40,100,885,45,68.15,4,0.31
134,159,78,62,97,95.48,9,0.21
135,112,43,159,72,345.27,6,0.35
136,177,37,1782,45,148.74,5,0.17
137,109,91,262,56,48.61,9,0.3
138,52,49,1727,23,80.73,4,0.11
139,47,88,1120,3,179.4,10,0.1
140,13,8,1448,43,162.83,5,0.2
141,82,72,1945,63,76.19,4,0.39
142,9,72,433,23,104.82,10,0.06
143,181,40,162,75,181.41,9,0.04
144,125,25,1169,13,385.14,9,0.3
145,135,95,608,23,119.41,2,0.47
146,177,24,1869,38,455.98,7,0.47
147,39,52,396,70,433.6,6,0.19
148,73,99,1013,93,330.28,3,0.29
149,70,10,2,40,373.87,6,0.49
150,3,25,934,88,218.51,4,0.12
151,149,20,1834,94,229.51,2,0.19
152,193,76,933,75,147.14,4,0.01
153,195,22,1348,86,19.84,4,0.05
154,56,24,400,17,459.94,7,0.14
155,105,83,921,87,23.62,4,0.1
156,161,31,3,28,260.28,10,0.49
157,39,74,1804,84,245.31,9,0.22
158,146,78,754,72,22.95,5,0.29
159,73,2,1669,40,279.79,6,0.12
160,193,83,916,57,345.49,4,0.11
161,143,11,774,94,96.42,3,0.02
162,23,38,727,72,340.51,7,0.42
163,143,65,190,40,121.73,4,0.01
164,48,77,1144,21,48.71,8,0.1
165,147,39,34,9,94.59,8,0.43
166,102,46,1172,87,484.0,5,0.33
167,73,24,401,92,355.86,7,0.46
168,29,4,1417,23,327.77,3,0.45
169,146,56,492,81,470.21,9,0.04
170,146,99,1346,80,43.12,1,0.07
171,139,69,1686,7,209.5,4,0.08
172,183,20,1527,44,206.92,7,0.03
173,44,38,104,78,338.36,8,0.25
174,30,29,1081,5,359.93,10,0.43
175,182,71,524,26,148.88,4,0.24
176,44,96,1584,3,74.28,3,0.13
177,156,49,200,74,57.26,8,0.39
178,114,30,521,47,90.76,3,0.35
179,57,56,157,54,357.18,6,0.17
180,77,88,191,50,390.59,5,0.25
181,7,16,1178,33,448.11,10,0.22
182,15,46,1607,78,392.63,3,0.4
183,82,41,1917,23,198.68,1,0.38
184,105,46,1520,35,334.72,10,0.34
185,156,17,1693,35,245.15,10,0.2
186,14,53,705,7,433.71,8,0.18
187,165,88,1285,58,29.68,3,0.49
188,53,15,1943,21,390.59,9,0.04
189,123,13,1117,42,178.88,4,0.47
190,92,58,1413,63,487.84,5,0.04
191,37,57,1983,62,303.11,8,0.38
192,92,34,1631,88,377.12,6,0.17
193,168,80,207,62,432.93,1,0.23
194,200,97,1243,13,204.45,4,0.19
195,17,16,435,74,82.11,9,0.38
196,130,95,241,91,231.88,6,0.26
197,146,43,1924,14,451.29,3,0.28
198,99,63,1966,50,311.02,10,0.14
199,148,56,1742,99,290.99,4,0.1
200,152,51,71,21,69.72,2,0.03
201,1,75,1902,54,125.06,8,0.27
202,63,4,1700,75,375.7,7,0.08
203,172,39,824,39,128.98,5,0.47
204,57,63,762,43,487.24,5,0.43
205,90,23,66,82,171.67,2,0.44
206,96,17,1967,87,55.03,9,0.32
207,182,90,1208,28,65.09,6,0.0
208,154,59,1843,82,252.45,4,0.19
209,146,16,1508,25,163.14,9,0.27
210,4,88,220,51,394.59,5,0.26
211,37,62,536,70,192.99,5,0.19
212,62,20,500,92,150.82,6,0.11
213,189,15,124,5,304.54,2,0.04
214,112,77,1020,79,20.93,7,0.29
215,125,22,962,43,13.15,9,0.37
216,101,83,1494,58,193.33,3,0.28
217,51,45,1828,93,244.35,1,0.2
218,200,84,1035,57,284.22,6,0.04
219,168,25,1422,39,234.35,7,0.22
220,19,38,1062,70,383.35,8,0.43
221,34,54,1033,83,56.97,6,0.47
222,43,35,1542,11,105.84,3,0.14
223,161,79,448,45,234.84,10,0.37
224,8,4,675,77,316.29,2,0.0
225,109,40,1078,57,60.28,1,0.34
226,76,86,1999,59,340.32,1,0.25
227,13,74,578,70,389.33,6,0.48
228,41,19,1314,59,194.37,4,0.05
229,132,78,169,75,348.78,4,0.06
230,127,66,340,98,17.08,10,0.49
231,73,28,929,96,79.89,1,0.1
232,173,38,1387,94,196.34,7,0.5
233,130,80,1486,93,288.9,3,0.05
234,94,77,694,12,78.61,8,0.23
235,174,46,336,8,229.27,1,0.46
236,164,30,166,1,151.42,8,0.12
237,44,13,774,87,392.89,2,0.3
238,4,75,319,62,477.05,4,0.01
239,168,96,367,11,258.27,6,0.4
240,148,28,431,34,226.14,3,0.34
241,85,60,1546,96,297.41,6,0.26
242,114,18,806,19,354.35,9,0.08
243,17,60,494,89,71.02,6,0.33
244,174,46,50,60,298.36,10,0.12
245,199,45,135,5,445.01,6,0.11
246,56,98,1015,90,257.74,1,0.23
247,80,21,420,85,71.76,2,0.16
248,12,72,1185,13,136.55,3,0.43
249,171,15,1082,23,226.84,8,0.37
250,163,76,751,13,253.58,8,0.44
251,22,32,829,83,300.26,4,0.46
252,97,70,807,25,218.45,4,0.12
253,192,20,1509,40,405.09,8,0.42
254,194,83,705,61,382.97,8,0.14
255,10,68,790,41,94.33,5,0.1
256,187,69,827,98,285.39,5,0.46
257,36,24,921,77,129.55,4,0.5
258,53,32,1760,38,28.61,5,0.17
259,172,33,135,64,323.64,1,0.36
260,188,92,768,45,237.93,5,0.44
261,177,32,500,58,266.49,7,0.23
262,50,86,1205,31,127.66,4,0.11
263,62,11,1093,77,422.4,4,0.3
264,21,42,1294,23,222.65,6,0.36
265,195,41,131,21,20.47,3,0.15
266,146,85,1959,80,187.88,4,0.24
267,70,17,1018,97,49.61,3,0.13
268,181,12,897,48,186.22,9,0.37
269,183,85,364,82,430.62,7,0.29
270,61,79,1216,93,439.04,3,0.3
271,142,70,1229,53,237.72,2,0.23
272,167,75,239,25,199.78,1,0.2
273,120,43,1853,75,484.39,1,0.29
274,178,91,1059,62,293.17,10,0.35
275,116,59,1928,82,167.86,5,0.19
276,19,81,1091,35,313.52,5,0.36
277,135,2,841,75,197.16,2,0.19
278,51,63,1411,43,214.9,8,0.4
279,27,8,1710,6,475.26,3,0.15
280,96,13,372,68,320.05,3,0.39
281,155,94,1333,79,157.38,1,0.32
282,180,96,283,40,52.53,10,0.24
283,2,63,1447,19,350.3,6,0.11
284,94,44,378,21,422.46,8,0.09
285,193,40,772,49,183.89,2,0.45
286,158,100,1526,68,428.33,8,0.12
287,141,5,786,68,51.99,6,0.27
288,86,95,1670,28,468.25,3,0.49
289,160,42,492,48,382.65,4,0.49
290,190,9,619,37,273.15,10,0.03
291,178,57,363,47,489.8,10,0.3
292,50,7,785,71,153.96,8,0.02
293,147,55,1747,31,140.13,1,0.01
294,71,31,406,31,498.08,6,0.4
295,166,81,1081,30,309.82,5,0.1
296,18,73,1037,9,303.46,10,0.15
297,90,63,1321,17,157.42,10,0.18
298,18,55,1962,52,257.29,9,0.16
299,86,57,127,45,70.15,3,0.17
300,11,43,51,94,217.2,5,0.23
301,93,89,836,20,94.82,9,0.43
302,34,84,1569,97,432.43,3,0.35
303,80,4,42,52,166.93,1,0.17
304,123,83,1137,45,92.22,8,0.46
305,126,83,1082,6,195.99,10,0.17
306,172,8,1737,62,142.04,5,0.19
307,122,45,1228,48,11.74,6,0.39
308,173,88,1094,24,308.18,10,0.03
309,153,7,445,80,39.31,10,0.26
310,182,3,1509,97,37.85,5,0.39
311,26,9,1309,80,43.37,8,0.17
312,189,40,1150,44,374.99,4,0.28
313,164,55,102,90,305.8,9,0.39
314,175,85,1179,99,462.12,1,0.36
315,119,90,1332,41,270.54,1,0.38
316,127,59,1182,50,170.31,5,0.17
317,14,11,375,40,170.68,6,0.32
318,28,98,45,22,362.28,7,0.2
